COUNTRIES,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 Algeria,382,382,380,380,380,380,380,389,389,389
Angola,220,220,220,220,220,220,220,220,220,220
Benin,83,83,83,83,83,84,84,84,84,84
Botswana,47,47,47,47,47,63,63,63,63,63
Burkina Faso,111,111,111,119,119,119,119,124,124,124
Burundi,118,118,118,121,121,121,121,124,124,124
Cameroon,180,180,180,180,180,180,180,180,180,180
Cape Verde,75,75,79,79,79,79,79,81,81,81
Central African Republic(CAR),105,105,140,140,140,140,140,140,140,140
Chad,122,122,122,122,122,122,122,155,155,155
Comoros,43,43,33,33,33,33,33,33,33,33
"Congo, Republic of the",500,500,500,500,500,500,500,485,485,485
Djibouti,65,65,65,65,65,65,65,65,65,65
Egypt,452,452,454,454,454,454,454,596,596,596
Equatorial Guinea,80,80,100,100,100,100,100,100,100,100
Eritrea,150,150,150,150,150,150,150,150,150,150
Eswatini (Swaziland),69,69,69,69,69,69,69,69,69,69
Ethiopia,537,537,547,547,547,547,547,547,547,547
Gabon,120,120,120,120,120,120,120,134,134,134
Gambia,53,53,53,53,53,53,53,58,58,58
Ghana,200,200,275,275,275,275,275,275,275,275
Guinea,114,114,114,114,114,114,114,114,114,114
Guinea-Bissau,100,100,102,102,102,102,102,102,102,102
Ivory Coast,255,255,255,255,255,255,255,255,255,255
Kenya,224,224,300,300,300,300,300,349,349,349
Lesotho,120,120,120,120,120,120,120,120,120,120
Liberia,64,64,64,73,73,73,73,73,73,73
Libya,188,188,188,188,188,188,188,188,188,188
Madagascar,134,134,151,151,151,151,151,151,151,151
Malawi,191,191,192,192,192,192,192,192,192,192
Mali,147,147,147,147,147,147,147,147,147,147
Mauritania,95,95,130,130,130,130,130,153,153,153
Mauritius,69,69,69,69,69,69,69,69,69,69
Morocco,395,395,395,395,395,395,395,395,395,395
Mozambique,250,250,250,250,250,250,250,250,250,250
Nambia,104,104,104,104,104,104,104,104,104,104
Niger,171,171,171,171,171,171,171,171,171,171
Nigeria,351,351,359,359,359,359,359,359,359,359
Rwanda,74,74,80,80,80,80,80,80,80,80
Sao Tome and Principe,55,55,55,55,55,55,55,55,55,55
Senegal,120,120,165,165,165,165,165,165,165,165
Seychelles,34,34,33,33,33,33,33,33,33,33
Sierra Leone,124,124,124,124,124,124,124,146,146,146
Somalia,256,256,275,275,275,275,275,275,275,275
South Africa,400,400,393,393,393,393,393,393,393,393
South Sudan,357,357,383,383,383,383,383,383,383,383
Sudan,481,481,481,481,481,481,481,481,481,481
Tanzania,295,295,295,295,295,295,295,319,319,319
Togo,81,81,91,91,91,91,91,91,91,91
Uganda,459,459,459,459,459,459,459,459,459,459
Zambia,167,167,167,167,167,167,167,167,167,167
Zimbabwe,245,245,245,250,250,250,250,270,270,270
